,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
322,59170422,DA,59170422,2.3143,689,281,270,689,-123.463738,48.438617,62.8,23.75,56.61666666666667
323,59170423,DA,59170423,0.0848,368,116,115,368,-123.457606,48.43692,72.03333333333333,24.883333333333333,58.95
324,59170424,DA,59170424,0.0935,327,134,131,327,-123.462404,48.437062,65.88333333333334,24.366666666666667,57.35
325,59170425,DA,59170425,2.7978,349,166,153,349,-123.476524,48.435476,63.25,25.766666666666666,59.46666666666667
326,59170426,DA,59170426,1.1864,1245,541,524,1245,-123.474152,48.444722,61.3,23.533333333333335,56.25
327,59170427,DA,59170427,0.5856,1500,623,611,1500,-123.482095,48.448229,80.55,26.383333333333333,55.483333333333334
328,59170428,DA,59170428,0.3203,1022,378,367,1022,-123.489202,48.451639,80.2,27.4,57.5
329,59170429,DA,59170429,0.2245,1060,571,489,1060,-123.496337,48.449899,67.93333333333334,25.3,60.766666666666666
330,59170430,DA,59170430,0.3945,1322,499,484,1322,-123.494367,48.454822,78.45,26.983333333333334,60.25
331,59170431,DA,59170431,0.2767,1853,868,834,1853,-123.501995,48.45262,70.06666666666666,25.366666666666667,63.4
332,59170432,DA,59170432,0.3627,2576,1360,1319,2576,-123.502368,48.447889,69.53333333333333,26.666666666666668,62.483333333333334
333,59170433,DA,59170433,0.1818,460,192,186,460,-123.510335,48.449047,72.63333333333334,28.433333333333334,64.61666666666666
334,59170435,DA,59170435,0.195,708,323,312,708,-123.514135,48.446935,70.93333333333334,26.683333333333334,65.2
335,59170437,DA,59170437,0.799,1324,647,618,1324,-123.511928,48.452233,75.4,27.283333333333335,65.31666666666666
336,59170438,DA,59170438,1.9835,1691,755,707,1691,-123.518488,48.460068,99.35,27.733333333333334,70.6
337,59170439,DA,59170439,0.9278,1804,745,717,1804,-123.504509,48.46038,83.75,25.883333333333333,68.1
338,59170440,DA,59170440,0.5323,1419,647,624,1419,-123.497703,48.46414,78.88333333333334,25.683333333333334,60.71666666666667
339,59170441,DA,59170441,0.1361,355,134,134,355,-123.489473,48.466601,82.4,28.766666666666666,60.78333333333333
340,59170442,DA,59170442,0.3494,928,338,331,928,-123.48964,48.463138,84.56666666666666,28.6,59.61666666666667
341,59170443,DA,59170443,1.452,1109,414,394,1109,-123.493968,48.471957,88.25,29.05,60.233333333333334
342,59170444,DA,59170444,1.4508,2376,931,897,2376,-123.479146,48.454178,83.13333333333334,25.716666666666665,58.05
343,59170451,DA,59170451,0.3543,463,176,171,463,-123.456953,48.565356,85.83333333333333,26.9,68.76666666666667
344,59170452,DA,59170452,0.8581,620,217,215,620,-123.451059,48.569832,88.2,27.9,71.4
345,59170453,DA,59170453,0.197,534,226,219,534,-123.448892,48.573433,89.08333333333333,27.116666666666667,71.76666666666667
346,59170454,DA,59170454,0.2205,516,231,227,516,-123.453028,48.574882,98.7,28.133333333333333,75.26666666666667
347,59170455,DA,59170455,0.2557,737,344,329,737,-123.454291,48.577815,90.11666666666666,27.366666666666667,75.1
