a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,Transit Time,Car Time,Bike Time
0.2286,0,DA,283,271,59151286,899,59151286,5915,5915025,9330225.01,59933,85.05,33.45,74.46666667
0.2054,0,DA,290,265,59151288,718,59151288,5915,5915025,9330226.02,59933,81.05,32.08333333,72.71666667
0.1067,0,DA,212,208,59151289,501,59151289,5915,5915025,9330226.04,59933,80.7,31.58333333,71.68333333
0.0328,0,DA,485,458,59151290,810,59151290,5915,5915025,9330226.03,59933,78.63333333,31.55,69.2
0.1399,0,DA,257,233,59151291,648,59151291,5915,5915025,9330226.02,59933,80.93333333,31.41666667,70.1
0.098,0,DA,351,320,59151292,774,59151292,5915,5915025,9330226.02,59933,77.76666667,30.7,68.78333333
0.137,0,DA,271,258,59151293,601,59151293,5915,5915025,9330228.04,59933,77.96666667,30.4,69.28333333
0.0678,0,DA,280,267,59151294,517,59151294,5915,5915025,9330228.03,59933,67.5,30.85,65.63333333
0.0115,0,DA,132,122,59151297,237,59151297,5915,5915025,9330228.03,59933,63.08333333,30.16666667,63.7
0.1353,0,DA,836,754,59151298,1512,59151298,5915,5915025,9330228.03,59933,61.73333333,27.98333333,62.43333333
0.0491,0,DA,457,341,59151299,668,59151299,5915,5915025,9330228.03,59933,62.3,31.25,63.45
0.0284,0,DA,151,145,59151300,404,59151300,5915,5915025,9330228.03,59933,65.5,30.76666667,64.81666667
0.3027,0,DA,1573,1466,59151302,2761,59151302,5915,5915025,9330226.03,59933,76.81666667,33,67.83333333
0.0425,0,DA,377,337,59151304,784,59151304,5915,5915025,9330227.01,59933,68.88333333,31.38333333,65.58333333
0.0529,0,DA,413,381,59151305,831,59151305,5915,5915025,9330227.01,59933,68.65,31.45,65.21666667
0.0462,0,DA,514,474,59151307,861,59151307,5915,5915025,9330227.01,59933,68.66666667,30.38333333,64.65
0.0297,0,DA,674,590,59151308,1063,59151308,5915,5915025,9330227.02,59933,69.23333333,30.23333333,64.46666667
0.0309,0,DA,339,287,59151309,583,59151309,5915,5915025,9330227.02,59933,70.21666667,29.58333333,63.3
0.0349,0,DA,331,319,59151310,634,59151310,5915,5915025,9330227.02,59933,66.06666667,30.61666667,63.53333333
0.0265,0,DA,460,445,59151311,816,59151311,5915,5915025,9330227.02,59933,69.88333333,30.28333333,62.51666667
0.8951,0,DA,238,229,59151312,435,59151312,5915,5915025,9330227.02,59933,68.05,28.41666667,60.28333333
0.0433,0,DA,698,659,59151313,1174,59151313,5915,5915025,9330227.02,59933,63.38333333,30.41666667,63.08333333
0.0359,0,DA,334,324,59151314,645,59151314,5915,5915025,9330227.02,59933,67.06666667,30.45,64.68333333
0.0226,0,DA,355,343,59151315,641,59151315,5915,5915025,9330227.02,59933,67.38333333,30.76666667,64.81666667
0.1595,0,DA,279,261,59151316,725,59151316,5915,5915025,9330221.04,59933,68.33333333,31.18333333,67.06666667
0.163,0,DA,198,192,59151317,575,59151317,5915,5915025,9330221.04,59933,72.7,30.96666667,68.13333333
0.1606,0,DA,295,286,59151318,710,59151318,5915,5915025,9330221.04,59933,76.15,32.3,71.36666667
0.1563,0,DA,227,219,59151319,696,59151319,5915,5915025,9330221.04,59933,69.58333333,32.01666667,68.5
0.2161,0,DA,234,227,59151320,710,59151320,5915,5915025,9330221.04,59933,74.68333333,33.41666667,70.95
0.1556,0,DA,180,165,59151321,613,59151321,5915,5915025,9330221.04,59933,69.95,31.11666667,68.73333333
0.1935,0,DA,328,311,59151322,929,59151322,5915,5915025,9330221.04,59933,68.75,33.91666667,70.86666667
0.0728,0,DA,858,791,59151323,1645,59151323,5915,5915025,9330226.04,59933,72.58333333,31.48333333,68.63333333
0.0321,0,DA,224,216,59151324,446,59151324,5915,5915025,9330226.04,59933,68.26666667,32.08333333,69.48333333
0.023,0,DA,160,130,59151325,232,59151325,5915,5915025,9330226.04,59933,71.45,33.86666667,70.03333333
0.0208,0,DA,239,232,59151326,521,59151326,5915,5915025,9330226.04,59933,69.83333333,33.71666667,70.28333333
0.0321,0,DA,222,211,59151327,394,59151327,5915,5915025,9330226.04,59933,73.76666667,32.63333333,70.83333333
0.0588,0,DA,419,409,59151328,907,59151328,5915,5915025,9330226.03,59933,77.3,32.18333333,70.21666667
0.134,0,DA,1278,1157,59151329,2137,59151329,5915,5915025,9330226.03,59933,71.26666667,31.45,68.7
0.1177,0,DA,237,230,59151332,733,59151332,5915,5915025,9330221.04,59933,73.11666667,34.33333333,72.6
0.078,0,DA,511,484,59151336,1022,59151336,5915,5915025,9330224.01,59933,76.51666667,39.9,81.53333333
0.1035,0,DA,1192,1149,59151338,2466,59151338,5915,5915025,9330224.01,59933,79.41666667,37.6,82.26666667
0.0462,0,DA,287,280,59151339,547,59151339,5915,5915025,9330224.01,59933,81.4,37.35,82.9
0.1127,0,DA,599,576,59151340,1302,59151340,5915,5915025,9330224.02,59933,82.08333333,36.51666667,84.1
0.1049,0,DA,362,344,59151341,797,59151341,5915,5915025,9330224.02,59933,81.23333333,39.1,84.85
0.0761,0,DA,936,890,59151342,1656,59151342,5915,5915025,9330223.02,59933,80.53333333,40.81666667,82.96666667
0.0655,0,DA,535,513,59151343,805,59151343,5915,5915025,9330224.01,59933,78.16666667,39.93333333,83.45
0.1036,0,DA,348,309,59151345,663,59151345,5915,5915025,9330228.04,59933,66.05,28.53333333,62.25
0.0726,0,DA,325,312,59151346,508,59151346,5915,5915025,9330228.04,59933,70.11666667,28.88333333,64.25
0.101,0,DA,249,238,59151347,676,59151347,5915,5915025,9330228.04,59933,71.55,28.61666667,64.03333333
0.0861,0,DA,193,182,59151348,547,59151348,5915,5915025,9330228.02,59933,80.75,29.48333333,65.58333333
